Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,2.1158,1.7477,60.5415,123.3
WithNew-2,1,2.8472,1.7752,57.8413,106.86
WithNew-1,1,2.8578,1.7387,60.5415,123.3
Existing-1,1,2.0761,1.8208,57.8413,106.86
WithNew-2,1,2.7413,1.5835,60.5415,123.3
WithNew-1,1,2.7418,1.5835,57.8413,106.86
Existing-1,1,2.2314,1.7017,57.8413,106.86
WithNew-2,1,0.9622,1.8897,11.7294,106.86
WithNew-1,1,2.1927,1.5243,57.8413,106.86
Existing-1,1,2.1414,1.6188,60.5415,123.3
WithNew-2,1,0.9315,1.7601,11.7294,106.86
WithNew-1,1,2.3623,1.6024,60.5415,123.3
Existing-1,1,2.1279,1.7188,61.4555,106.86
WithNew-2,1,1.0304,1.6658,11.7294,106.86
WithNew-1,1,2.3676,1.3511,61.4555,106.86
Existing-1,1,2.2733,1.6901,61.4555,106.86
WithNew-1,1,2.7712,1.5836,61.4555,106.86
WithNew-2,1,2.7707,1.5836,61.4555,106.86
Existing-1,1,1.3517,1.7696,35.3044,312.36
WithNew-1,1,1.9474,1.8177,35.3044,312.36
WithNew-2,1,2.3983,1.425,57.8413,106.86
Existing-1,1,1.3653,1.8407,35.3044,312.36
WithNew-1,1,2.1528,1.5833,35.3044,312.36
WithNew-2,1,2.2348,1.4666,57.8413,106.86
Existing-1,1,2.2554,1.5519,60.5415,123.3
WithNew-1,1,2.9192,1.6587,60.5415,123.3
WithNew-2,1,3.2824,1.3336,62.6262,131.52
Existing-1,1,0.6541,1.9044,11.7294,106.86
WithNew-1,1,0.9764,1.7328,11.7294,106.86
WithNew-2,1,2.303,1.662,57.8413,106.86
